Episode,Epsilon,AvgReward,Collisions,Penalties
337,0.185590238795289,-1003.78120050219,150,0
338,0.184662287601312,-997.240204147803,149,0
339,0.183738976163306,-1004.09338707916,150,0
340,0.182820281282489,-1003.81073862708,150,0
341,0.181906179876077,-1003.93379113885,150,0
342,0.180996648976696,-1003.94630270558,150,0
343,0.180091665731813,-1003.7895571546,150,0
344,0.179191207403154,-1003.88601719934,150,0
345,0.178295251366138,-1003.74242039492,150,0
346,0.177403775109307,-1004.05131914098,150,0
347,0.176516756233761,-1003.95496378542,150,0
348,0.175634172452592,-1003.86014865489,150,0
349,0.174756001590329,-1003.90904936925,150,0
350,0.173882221582377,-997.276690163516,149,0
351,0.173012810474465,-996.699996048559,149,0
352,0.172147746422093,-1003.92258221728,150,0
353,0.171287007689983,-1003.86316101462,150,0
354,0.170430572651533,-1003.99015484582,150,0
355,0.169578419788275,-1003.94822212055,150,0
356,0.168730527689334,-990.514344138887,148,0
357,0.167886875050887,-1004.18171302742,150,0
358,0.167047440675632,-1004.02925773955,150,0
359,0.166212203472254,-1003.9143711495,150,0
360,0.165381142454893,-1003.91180313683,150,0
361,0.164554236742619,-1004.13640882032,150,0
362,0.163731465558905,-1003.91200644481,150,0
363,0.162912808231111,-1003.96616986356,150,0
364,0.162098244189955,-1003.90996116095,150,0
365,0.161287752969006,-1004.10430181403,150,0
366,0.160481314204161,-1004.04331921045,150,0
367,0.15967890763314,-1004.05660470569,150,0
368,0.158880513094974,-990.657330021038,148,0
369,0.158086110529499,-997.136990742631,149,0
370,0.157295679976852,-1003.7962307419,150,0
371,0.156509201576967,-1003.82597538853,150,0
372,0.155726655569083,-1003.72165434089,150,0
373,0.154948022291237,-1003.35439710919,150,0
374,0.154173282179781,-1003.86335527461,150,0
375,0.153402415768882,-1003.75768145742,150,0
376,0.152635403690038,-1003.76877270279,150,0
377,0.151872226671588,-1004.06285953173,150,0
378,0.15111286553823,-1004.02375437666,150,0
379,0.150357301210538,-1003.95430078305,150,0
380,0.149605514704486,-1003.98438614842,150,0
381,0.148857487130963,-1003.8175404716,150,0
382,0.148113199695308,-1003.86060485484,150,0
